z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Muito Barato (<-2.5),7,-2.4105154442469696,-4.119859201689657,0.052018988794159,42.85714285714285
Barato (-2.5 a -1.5),108,5.1233786737108815,3.795490194224971,0.0964138788546192,62.03703703703704
Leve Desc (-1.5 a -0.5),203,4.684876370630953,3.911644494094313,0.098279146458036,63.05418719211823
Neutro,189,0.2508255671009186,-1.7398517611277309,0.09232176666185,40.5
Leve Premio (0.5 a 1.5),266,-2.004174964587623,-2.1878955811331533,0.0607428692456312,36.86006825938566
Caro (1.5 a 2.5),95,-2.327258132748191,-3.1612863821594672,0.0680704322140615,30.927835051546392
Muito Caro (>2.5),16,0.7598273821068396,5.750400907867837,0.1315457840241158,56.25
Muito Barato (<-2.5),18,3.726519278137748,2.456958212778826,0.1003062999722664,77.77777777777779
Barato (-2.5 a -1.5),69,3.666270022813218,3.44802893813958,0.0761393885048613,63.76811594202898
Leve Desc (-1.5 a -0.5),164,0.3617254992068496,1.69716507460006,0.1102383001982178,56.09756097560976
Neutro,192,1.7790299480837717,1.3839057912303332,0.1311921877712603,54.6875
Leve Premio (0.5 a 1.5),234,3.5394922630440773,0.7976330438055346,0.119116796870238,50.84745762711864
Caro (1.5 a 2.5),177,2.3038062534892,2.8876352679302557,0.1179342251553809,52.83018867924528
Muito Caro (>2.5),28,15.087862172750803,15.945147488509535,0.1108712660695648,83.87096774193549
Muito Barato (<-2.5),24,-9.204008557801776,-9.079914897414332,0.102740739587094,4.166666666666666
Barato (-2.5 a -1.5),127,-9.2212664494275,-13.707864849817796,0.1796760397233547,22.83464566929134
Leve Desc (-1.5 a -0.5),232,-3.5460609025510044,-2.1846231927386994,0.1771869041288344,46.15384615384615
Neutro,157,1.5077271008284954,0.5839379741054085,0.1346459447060128,43.386243386243386
Leve Premio (0.5 a 1.5),189,1.5266970888062936,-0.3784629970008724,0.1441819364750146,46.15384615384615
Caro (1.5 a 2.5),135,5.168372867913649,1.8312924264391568,0.1733924189451903,54.07407407407408
Muito Caro (>2.5),20,3.362799700502737,4.617794536531161,0.1193730211766882,80.0
Muito Barato (<-2.5),24,-4.824985442838932,-5.730707716435823,0.0296782734271248,4.166666666666666
Barato (-2.5 a -1.5),126,-4.868110653224626,-6.200225218564298,0.1194318301014651,29.365079365079367
Leve Desc (-1.5 a -0.5),161,3.037431227832695,2.387839848046558,0.1087121067220647,63.97515527950311
Neutro,190,1.0518012109422186,0.1080255153620091,0.0732610498146158,51.05263157894737
Leve Premio (0.5 a 1.5),157,2.746903234583545,0.7437308294518941,0.0834963792069193,53.41614906832298
Caro (1.5 a 2.5),143,1.3528390614962371,0.4328436328232321,0.0586554029404722,42.69662921348314
